element_index,prebuilt_scenario,Revit model,Revit category,Revit type,Revit family name,Revit material name,Revit building element,Cumulative material volume (m3),Tally Entry Division,Tally Entry Category,Tally Entry Name,Material Group,Material Name,Life Cycle Stage,Service Life,Acidification Potential Total (kgSO2eq),Eutrophication Potential Total (kgNeq),Global Warming Potential Total (kgCO2eq),Ozone Depletion Potential Total (CFC-11eq),Smog Formation Potential Total (kgO3eq),Primary Energy Demand Total (MJ),Non-renewable Energy Demand Total (MJ),Renewable Energy Demand Total (MJ),Mass Total (kg)
Element_0,regional_mix,tm_1,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[C2-C4] End of Life,60,0.011309327,0.00057101,2.439266627,4.49E-13,0.223969027,41.80015993,39.02826604,2.760806319,
Element_1,regional_mix,tm_1,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal Coating,"Powder coating, metal stock",[C2-C4] End of Life,60,0.008187081,0.000415404,1.774539729,3.27E-13,0.162531707,30.40915807,28.4329661,2.004423284,
Element_2,regional_mix,tm_1,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,23.79873641,08 - Openings and Glazing,Glass,"Glazing, double pane IGU",Glazing,"Glazing, double, insulated (air)",[C2-C4] End of Life,40,2.035166746,0.103262155,441.1198859,8.10E-11,40.40257136,7559.19077,7067.943625,498.264962,
Element_3,regional_mix,tm_1,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[C2-C4] End of Life,60,34.9901898,1.774365909,15410.97977,1.39E-09,695.9797315,129635.7852,121222.8434,8565.90439,
Element_4,regional_mix,tm_1,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.381497583,0.019325042,82.55357535,1.52E-11,7.567411075,1413.417275,1319.606394,93.1854752,
Element_5,regional_mix,tm_1,Floors,Floor,CLT,Wood - Stained,Superstructure,0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[C2-C4] End of Life,60,957.262503,248.9741039,248974.1039,2.00E-09,3219.492723,136077.2258,127921.1775,8091.658375,
Element_6,regional_mix,tm_1,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Roofing membrane,"PVC membrane, sheet",[C2-C4] End of Life,20,0.784060664,0.298958383,49.63837298,9.15E-12,6.57708442,850.6212095,795.3421125,56.06879855,
Element_7,regional_mix,tm_1,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[C2-C4] End of Life,20,0.011389706,0.004353807,0.722572699,1.33E-13,0.09552656,12.36946485,11.57341018,0.814425161,
Element_8,regional_mix,tm_1,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[C2-C4] End of Life,60,2.11837763,0.807726723,134.1131162,2.47E-11,17.76998789,2298.211127,2148.857884,151.4868608,
Element_9,regional_mix,tm_1,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[C2-C4] End of Life,60,8.74754745,0.443591477,3852.744943,3.48E-10,173.9949329,32408.94629,30305.71084,2141.476097,
Element_10,regional_mix,tm_1,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.095374396,0.004831261,20.63839384,3.80E-12,1.891852769,353.3543187,329.9015985,23.2963688,
Element_11,regional_mix,tm_1,Floors,Floor,CLT Roof,Wood - Stained,Superstructure,0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[C2-C4] End of Life,60,239.3156257,62.24352595,62243.52595,5.00E-10,804.8731805,34019.30643,31980.29438,2022.914594,
Element_12,regional_mix,tm_1,Floors,Floor,SOG Floor,"Concrete, Cast-in-Place gray",Substructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,16.16130306,0.81954586,7118.038395,6.45E-10,321.4597985,59876.3031,55990.52535,3956.428289,
Element_13,regional_mix,tm_1,Floors,Floor,SOG Floor,"Concrete, Cast-in-Place gray",Substructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.211036255,0.010690197,45.66686167,8.40E-12,4.186128986,781.8720255,729.9778645,51.5481999,
Element_14,regional_mix,tm_1,Floors,Floor,SOG Floor Insulation,Rigid insulation,Substructure,0,07 - Thermal and Moisture Protection,Insulation,"Expanded polystyrene (EPS), board",Insulation,"Expanded polystyrene (EPS), board",[C2-C4] End of Life,60,0.05573435,0.021251227,3.52850562,6.50E-13,0.467526995,60.4657554,56.53628325,3.985607485,
Element_15,regional_mix,tm_1,Structural Columns,FamilyInstance,Glulam-Western Species-Column: 18x18,"Softwood, Lumber",Superstructure,77.95539377,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,92.8256268,24.14298814,24142.98814,1.94E-10,312.1938121,13195.39179,12404.5008,784.6471145,
Element_16,regional_mix,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,8.04473752,0.407951717,3543.201334,3.20E-10,160.0155441,29805.09311,27870.83928,1969.422082,
Element_17,regional_mix,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.077384279,0.003919958,16.7454504,3.09E-12,1.53499962,286.7024084,267.6734875,18.90206144,
Element_18,regional_mix,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[C2-C4] End of Life,60,5.631316265,0.285566202,2480.240934,2.24E-10,112.0108809,20863.56518,19509.5875,1378.595457,
Element_19,regional_mix,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.054168995,0.002743971,11.72181528,2.16E-12,1.074499734,200.6916859,187.3714413,13.23144301,
Element_20,regional_mix,tm_1,Structural Framing,FamilyInstance,Glulam-Southern Pine: 10.75x31.5,"Softwood, Lumber",Superstructure,495.8232367,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,590.403056,153.5577456,153557.7456,1.23E-09,1985.660503,83927.2506,78896.91065,4990.62673,
Element_21,regional_mix,tm_1,Structural Framing,FamilyInstance,Glulam-Southern Pine: 14.25x33,"Softwood, Lumber",Superstructure,210.3742599,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[C2-C4] End of Life,60,250.5038022,65.15345525,65153.45525,5.25E-10,842.5015765,35609.73331,33475.39598,2117.487296,
Element_22,regional_mix,tm_1,Walls,Wall,Concrete - 16,"Concrete, Cast-in-Place gray",Enclosure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 6000 psi",Concrete,"Structural concrete, 6000 psi, Pacific Southwest regional average",[C2-C4] End of Life,60,29.89571113,1.516022947,13167.18206,1.19E-09,594.6469315,110761.1593,103573.1195,7318.73147,
Element_23,regional_mix,tm_1,Walls,Wall,Concrete - 16,"Concrete, Cast-in-Place gray",Enclosure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 6000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,2.362845309,0.119691672,511.3042305,9.40E-11,46.86955448,8754.14819,8173.120655,577.154018,
Element_24,regional_mix,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Aluminum, sheet",[C2-C4] End of Life,60,0.015033764,0.000759058,3.242576502,5.95E-13,0.297727479,55.56597005,51.881224,3.67000704,
Element_25,regional_mix,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal Coating,"Powder coating, metal stock",[C2-C4] End of Life,60,0.074247061,0.003767216,16.09295902,2.96E-12,1.473968746,275.7747977,257.8530933,18.17772871,
Element_26,regional_mix,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Insulation,Polyurethane foam (PUR) rigid board,[C2-C4] End of Life,60,0.794654561,0.302997782,50.3090657,9.25E-12,6.66595121,862.1144445,806.0884395,56.8263765,
Element_27,regional_mix,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Steel, sheet",[C2-C4] End of Life,60,0.012333963,0.000626235,2.663881704,4.90E-13,0.244454061,45.77553287,42.59667642,3.013555914,
Element_28,regional_mix,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Fasteners, stainless steel",[C2-C4] End of Life,60,0.00335889,0.000170008,0.725421076,1.34E-13,0.066600092,12.46172724,11.63644729,0.82115355,
Element_29,regional_mix,tm_1,Walls,Wall,Generic - 5,Gypsum Sheathing,Enclosure,0,09 - Finishes,Plaster and gypsum board,Fiberglass mat gypsum sheathing,Plaster,Fiberglass mat gypsum sheathing board,[C2-C4] End of Life,60,1.865695377,0.094663362,404.3871752,7.45E-11,37.03818901,6929.725685,6479.38542,456.7736957,
Element_30,regional_mix,tm_1,Walls,Wall,Generic - 5,Metal Studs with Insulation,Enclosure,0,05 - Metals,Steel,"Steel, C-stud metal framing with insulation",Metal,Cold formed structural steel,[C2-C4] End of Life,60,0.014520261,0.000734932,3.135948192,5.80E-13,0.287907872,53.8712374,50.3036058,3.54979346,
Element_31,regional_mix,tm_1,Walls,Wall,Generic - 5,Metal Studs with Insulation,Enclosure,0,05 - Metals,Steel,"Steel, C-stud metal framing with insulation",Insulation,"Cellulose insulation, boards",[C2-C4] End of Life,60,25.68811386,13.339525,3712.199243,6.15E-11,60.6757823,5747.42963,5373.92293,378.8425101,
Element_32,regional_mix,tm_1,Walls,Wall,Generic - 5,Gypsum Wall Board,Enclosure,0,09 - Finishes,Plaster and gypsum board,"Wall board, gypsum",Plaster,"Wall board, gypsum, natural",[C2-C4] End of Life,30,1.934231125,0.098140791,419.2422143,7.70E-11,38.39877554,7184.287035,6717.40366,473.5531376,
Element_33,regional_mix,tm_1,Walls,Wall,Generic - 5,Gypsum Wall Board,Enclosure,0,09 - Finishes,Plaster and gypsum board,"Wall board, gypsum",Coating,"Paint, interior acrylic latex",[C2-C4] End of Life,7,0.037180096,0.001886478,8.058739865,1.48E-12,0.738107311,138.0974968,129.1229911,9.102712985,
Element_0,100% landfill,tm_1,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[C2-C4] End of Life,60,0.033927981,0.00171303,7.317799881,1.35E-12,0.67190708,125.4004798,117.0847981,8.282418957,
Element_1,100% landfill,tm_1,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal Coating,"Powder coating, metal stock",[C2-C4] End of Life,60,0.024561243,0.001246211,5.323619186,9.80E-13,0.487595121,91.22747421,85.2988983,6.013269852,
Element_2,100% landfill,tm_1,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,23.79873641,08 - Openings and Glazing,Glass,"Glazing, double pane IGU",Glazing,"Glazing, double, insulated (air)",[C2-C4] End of Life,40,6.105500238,0.309786465,1323.359658,2.43E-10,121.2077141,22677.57231,21203.83088,1494.794886,
Element_3,100% landfill,tm_1,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[C2-C4] End of Life,60,104.9705694,5.323097727,46232.93931,4.17E-09,2087.939195,388907.3555,363668.5301,25697.71317,
Element_4,100% landfill,tm_1,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,1.144492749,0.057975125,247.6607261,4.56E-11,22.70223323,4240.251825,3958.819182,279.5564256,
Element_5,100% landfill,tm_1,Floors,Floor,CLT,Wood - Stained,Superstructure,0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[C2-C4] End of Life,60,2871.787509,746.9223116,746922.3116,6.00E-09,9658.478168,408231.6773,383763.5325,24274.97513,
Element_6,100% landfill,tm_1,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Roofing membrane,"PVC membrane, sheet",[C2-C4] End of Life,20,2.352181992,0.896875148,148.9151189,2.75E-11,19.73125326,2551.863629,2386.026338,168.2063957,
Element_7,100% landfill,tm_1,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[C2-C4] End of Life,20,0.034169117,0.01306142,2.167718097,3.99E-13,0.28657968,37.10839455,34.72023054,2.443275483,
Element_8,100% landfill,tm_1,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[C2-C4] End of Life,60,6.35513289,2.423180168,402.3393485,7.40E-11,53.30996367,6894.633381,6446.573652,454.4605823,
