element_index,Revit model,Revit category,Revit type,Revit family name,Revit material name,Revit building element,Cumulative material volume (m3),Tally Entry Division,Tally Entry Category,Tally Entry Name,Material Group,Material Name,Life Cycle Stage,Service Life,Acidification Potential Total (kgSO2eq),Eutrophication Potential Total (kgNeq),Global Warming Potential Total (kgCO2eq),Ozone Depletion Potential Total (CFC-11eq),Smog Formation Potential Total (kgO3eq),Primary Energy Demand Total (MJ),Non-renewable Energy Demand Total (MJ),Renewable Energy Demand Total (MJ),Mass Total (kg)
Element_0,tm_2_dummy,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[B2-B5] Maintenance and Replacement,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_1,tm_2_dummy,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal Coating,"Powder coating, metal stock",[B2-B5] Maintenance and Replacement,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_2,tm_2_dummy,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,23.79873641,08 - Openings and Glazing,Glass,"Glazing, double pane IGU",Glazing,"Glazing, double, insulated (air)",[B2-B5] Maintenance and Replacement,40,223.3835112,9.657798577,28779.54359,1.15e-08,2844.990673,415060.9291,395674.5121,20707.5309,20050.9039
Element_3,tm_2_dummy,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[B2-B5] Maintenance and Replacement,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_4,tm_2_dummy,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[B2-B5] Maintenance and Replacement,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_5,tm_2_dummy,Floors,Floor,CLT,Wood - Stained,Superstructure,0.0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[B2-B5] Maintenance and Replacement,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_6,tm_2_dummy,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Roofing membrane,"PVC membrane, sheet",[B2-B5] Maintenance and Replacement,20,34.44743791,3.193820462,14552.7318,8.8e-07,589.7473723,334767.5321,323604.8502,10986.50983,4512.579362
Element_7,tm_2_dummy,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[B2-B5] Maintenance and Replacement,20,1.190045393,0.100769254,650.9679492,3.59e-10,518.925357,19440.62497,18747.6998,702.8374018,244.939898
Element_8,tm_2_dummy,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0.0,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[B2-B5] Maintenance and Replacement,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_9,tm_2_dummy,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0.0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[B2-B5] Maintenance and Replacement,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
